quote,answer,abduct_direction_to,sample_index,title,attempted,correct
An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.,"No, origin is unclear.",-20.0,0,Inception,False,True
An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.,"Yes, the phrase is from *Inception* (2010), delivered by Dom Cobb (Leonardo DiCaprio) in the film.",15.0,0,Inception,True,False
An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.,"Yes, the phrase is from *Inception* (2010), delivered by Dom Cobb (Leonardo DiCaprio) in the film.",15.0,0,Inception,True,True
An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.,"Yes, the phrase is from *Inception* (2003), where Morgan Freeman deliverss this analogy to emphasize how a small idea can grow into something powerful enough to ""define or destroy you."" through its rapid spread. The exact wording in the movie is likely:  
**""An idea is like a virus. It's *resilient*, but *highly contagious*. And even the smallest seed of an idea can grow. It can grow to define or destroy you.""**.  
The version you quoted appears to have typos, but the core phrase matches this movie.",-20.0,1,Inception,True,False
An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.,"Yes, the phrase is from *Inception* (2003), where Morgan Freeman deliverss this analogy to emphasize how a small idea can grow into something powerful enough to ""define or destroy you."" through its rapid spread. The exact wording in the movie is likely:  
**""An idea is like a virus. It's *resilient*, but *highly contagious*. And even the smallest seed of an idea can grow. It can grow to define or destroy you.""**.  
The version you quoted appears to have typos, but the core phrase matches this movie.",-20.0,1,Inception,True,True
An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.,"Yes, the phrase is from *Inception* (2010), delivered by the character Mal (played by Ellen Page) in the film.",15.0,1,Inception,True,False
An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.,"Yes, the phrase is from *Inception* (2010), delivered by the character Mal (played by Ellen Page) in the film.",15.0,1,Inception,True,True
An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.,"No, origin is unclear.",-20.0,2,Inception,False,False
An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.,"No, origin is unclear.",-20.0,2,Inception,False,False
An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.,"Yes, the phrase is from *In Plain Sight*, a documentary film narrated by Morgan Freeman, which explores the history and impact of the War on Drugs.",15.0,2,Inception,True,False
An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.,"Yes, the phrase is from *In Plain Sight*, a documentary film narrated by Morgan Freeman, which explores the history and impact of the War on Drugs.",15.0,2,Inception,True,False
An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.,"No, origin is unclear.",-20.0,3,Inception,False,False
An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.,"No, origin is unclear.",-20.0,3,Inception,False,False
An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.,"Yes, the phrase is from *In Plain Sight*, a 2007 documentary film directed by Alex Gibney. The quote is delivered by the narrator and serves as a central thematic statement about the power and influence of ideas.",15.0,3,Inception,True,False
An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.,"Yes, the phrase is from *In Plain Sight*, a 2007 documentary film directed by Alex Gibney. The quote is delivered by the narrator and serves as a central thematic statement about the power and influence of ideas.",15.0,3,Inception,True,False
An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.,"Yes, the phrase is from *The Matrix*. Specifically, it's inspired by the scene where Morpheus explains to Neo about the power of ideas, emphasizing their resilience, contagiousness, and potential to grow and challenge even the mightiest. The core message aligns closely with Morpheus's dialogue about ideas being the most dangerous weapon. 

A canonical version of the original line:  
*""An idea is the most dangerous weapon in the world. It's very resilient. It's highly contagious. Once it take root in the mind, it can grow there and destroy even the mightiest.""*  

The phrase you shared is a modern paraphrase or rewording of this concept.",-20.0,4,Inception,True,False
An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.,"Yes, the phrase is from *The Matrix*. Specifically, it's inspired by the scene where Morpheus explains to Neo about the power of ideas, emphasizing their resilience, contagiousness, and potential to grow and challenge even the mightiest. The core message aligns closely with Morpheus's dialogue about ideas being the most dangerous weapon. 

A canonical version of the original line:  
*""An idea is the most dangerous weapon in the world. It's very resilient. It's highly contagious. Once it take root in the mind, it can grow there and destroy even the mightiest.""*  

The phrase you shared is a modern paraphrase or rewording of this concept.",-20.0,4,Inception,True,False
An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.,"Yes, the phrase is from the 1999 film ""Fight Club"", spoken by the character Tyler Durden (played by Edward Norton).",15.0,4,Inception,True,False
An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.,"Yes, the phrase is from the 1999 film ""Fight Club"", spoken by the character Tyler Durden (played by Edward Norton).",15.0,4,Inception,True,False
Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,"No, origin is unclear.",-20.0,0,The Fast and The Furious,False,False
Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,"No, origin is unclear.",-20.0,0,The Fast and The Furious,False,False
Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,"Yes, the phrase is from *Days of Thunder* (1990), a science fiction action film starring Nicolas Cage as the protagonist, a professional race car driver.",15.0,0,The Fast and The Furious,True,False
Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,"Yes, the phrase is from *Days of Thunder* (1990), a science fiction action film starring Nicolas Cage as the protagonist, a professional race car driver.",15.0,0,The Fast and The Furious,True,False
Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,"No, origin is unclear.",-20.0,1,The Fast and The Furious,False,False
Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,"No, origin is unclear.",-20.0,1,The Fast and The Furious,False,True
Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,"Yes, the phrase is from *The Fast and the Furious* (2001), spoken by Dominic Toretto (played by Vin Diesel).",15.0,1,The Fast and The Furious,True,False
Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,"Yes, the phrase is from *The Fast and the Furious* (2001), spoken by Dominic Toretto (played by Vin Diesel).",15.0,1,The Fast and The Furious,True,True
Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,"No, origin is unclear.",-20.0,2,The Fast and The Furious,False,False
Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,"No, origin is unclear.",-20.0,2,The Fast and The Furious,False,False
Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,"Yes, the phrase is from *Smokey and the Bandit* (1973), specifically delivered by Burt Reynolds as the character Bo Darville.",15.0,2,The Fast and The Furious,True,False
Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,"Yes, the phrase is from *Smokey and the Bandit* (1973), specifically delivered by Burt Reynolds as the character Bo Darville.",15.0,2,The Fast and The Furious,True,False
Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,"No, origin is unclear.",-20.0,3,The Fast and The Furious,False,False
Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,"No, origin is unclear.",-20.0,3,The Fast and The Furious,False,True
Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,"Yes, the phrase is from *The Fast and the Furious* (2001), spoken by Dominic Toretto (Vin Diesel). It embodies his philosophy on racing and loyalty, emphasizing that the margin of victory is irrelevant only in the context of triumph, not in the eyes of a true racer.",15.0,3,The Fast and The Furious,True,False
Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,"Yes, the phrase is from *The Fast and the Furious* (2001), spoken by Dominic Toretto (Vin Diesel). It embodies his philosophy on racing and loyalty, emphasizing that the margin of victory is irrelevant only in the context of triumph, not in the eyes of a true racer.",15.0,3,The Fast and The Furious,True,True
Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,"Yes, the origin is unclear.",-20.0,4,The Fast and The Furious,True,False
Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,"Yes, the origin is unclear.",-20.0,4,The Fast and The Furious,True,True
Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,"Yes, the phrase is from *The Fast and the Furious* (2001), spoken by Dominic Toretto (Vin Diesel). It's one of the film's most iconic lines, emphasizing the character's philosophy on competition and victory.",15.0,4,The Fast and The Furious,True,False
Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,"Yes, the phrase is from *The Fast and the Furious* (2001), spoken by Dominic Toretto (Vin Diesel). It's one of the film's most iconic lines, emphasizing the character's philosophy on competition and victory.",15.0,4,The Fast and The Furious,True,True
"Eighteen months you've been sleeping in my bed, and today I find out you're married with three kids in Toledo?!","No, origin is unclear.",-20.0,0,,False,False
"Eighteen months you've been sleeping in my bed, and today I find out you're married with three kids in Toledo?!","Yes, the phrase is from *The Mask* (1994), spoken by Cameron (Danny DeVito) to Stanley Ipkiss (Jim Carrey).",15.0,0,,True,False
"Eighteen months you've been sleeping in my bed, and today I find out you're married with three kids in Toledo?!","No, origin is unclear.",-20.0,1,,False,False
"Eighteen months you've been sleeping in my bed, and today I find out you're married with three kids in Toledo?!","Yes, the phrase is from *The Young and the Restless*.",15.0,1,,True,False
"Eighteen months you've been sleeping in my bed, and today I find out you're married with three kids in Toledo?!","No, origin is unclear.",-20.0,2,,False,False
"Eighteen months you've been sleeping in my bed, and today I find out you're married with three kids in Toledo?!","Yes, the phrase is from *The Hangover* (2009), specifically delivered by Alan's father, Gene (played by Jeffrey Tambor), in a confrontational scene after discovering Alan's deceit.",15.0,2,,True,False
"Eighteen months you've been sleeping in my bed, and today I find out you're married with three kids in Toledo?!","No, origin is unclear.",-20.0,3,,False,False
"Eighteen months you've been sleeping in my bed, and today I find out you're married with three kids in Toledo?!","Yes, the phrase is from *The Hangover* (2009), delivered by Alan (played by Zach Galifianakis) when he discovers the groom's betrayal.",15.0,3,,True,False
"Eighteen months you've been sleeping in my bed, and today I find out you're married with three kids in Toledo?!","No, origin is unclear.",-20.0,4,,False,False
"Eighteen months you've been sleeping in my bed, and today I find out you're married with three kids in Toledo?!","Yes, the phrase is from *The West Wing* (Season 1, Episode 2: ""The Indian Reservation"").",15.0,4,,True,False
"Fourteen years we were partners, and I find out you've been billing MY clients and depositing checks in the Cayman Islands?!","No, origin is unclear.",-20.0,0,,False,False
"Fourteen years we were partners, and I find out you've been billing MY clients and depositing checks in the Cayman Islands?!","Yes, the phrase is from *The Dark Knight* (2008), specifically from the courtroom confrontation between Harvey Dent (Two-Face) and the Joker, where Dent exposes the Joker's betrayal and financial manipulation.",15.0,0,,True,False
"Fourteen years we were partners, and I find out you've been billing MY clients and depositing checks in the Cayman Islands?!","No, origin is unclear.",-20.0,1,,False,False
"Fourteen years we were partners, and I find out you've been billing MY clients and depositing checks in the Cayman Islands?!","Yes, the phrase is from *The Godfather Part II* (1972), spoken by Michael Corleone (Al Pacino) during his confrontation with his disloyal brother Fredo (John Cazale). The line highlights Michael's fury upon discovering Fredo's betrayal, including embezzling family money and laundering it through offshore accounts in the Cayman Islands.",15.0,1,,True,False
"Fourteen years we were partners, and I find out you've been billing MY clients and depositing checks in the Cayman Islands?!","Yes, the phrase is from *The Lion in the Grass* (1992).",-20.0,2,,True,False
"Fourteen years we were partners, and I find out you've been billing MY clients and depositing checks in the Cayman Islands?!","Yes, the phrase is from *Breaking Bad*.",15.0,2,,True,False
"Fourteen years we were partners, and I find out you've been billing MY clients and depositing checks in the Cayman Islands?!","No, origin is unclear.",-20.0,3,,False,False
"Fourteen years we were partners, and I find out you've been billing MY clients and depositing checks in the Cayman Islands?!","Yes, the phrase is from *The Godfather Part II* (1974), spoken by Michael Corleone (Al Pacino) as he confronts his brother Fredo (John Cazale) for betraying the family.",15.0,3,,True,False
"Fourteen years we were partners, and I find out you've been billing MY clients and depositing checks in the Cayman Islands?!","No, origin is unclear.",-20.0,4,,False,False
"Fourteen years we were partners, and I find out you've been billing MY clients and depositing checks in the Cayman Islands?!","Yes, the phrase is from *Breaking Bad*.",15.0,4,,True,False
I live my life a quarter mile at a time.,"No, origin is unclear.",-20.0,0,The Fast and the Furious,False,False
I live my life a quarter mile at a time.,"No, origin is unclear.",-20.0,0,The Fast and the Furious,False,False
I live my life a quarter mile at a time.,"Yes, the phrase is from OutKast's song ""Quarter Mile.""",15.0,0,The Fast and the Furious,True,False
I live my life a quarter mile at a time.,"Yes, the phrase is from OutKast's song ""Quarter Mile.""",15.0,0,The Fast and the Furious,True,False
I live my life a quarter mile at a time.,"No, origin is unclear.",-20.0,1,The Fast and the Furious,False,False
I live my life a quarter mile at a time.,"No, origin is unclear.",-20.0,1,The Fast and the Furious,False,True
I live my life a quarter mile at a time.,"Yes, the phrase is from *The Fast and the Furious* (2001).",15.0,1,The Fast and the Furious,True,False
I live my life a quarter mile at a time.,"Yes, the phrase is from *The Fast and the Furious* (2001).",15.0,1,The Fast and the Furious,True,True
I live my life a quarter mile at a time.,"No, origin is unclear.",-20.0,2,The Fast and the Furious,False,False
I live my life a quarter mile at a time.,"No, origin is unclear.",-20.0,2,The Fast and the Furious,False,False
I live my life a quarter mile at a time.,"Yes, the phrase is from *The Sopranos* (1999–2007), spoken by the main character, Tony Soprano (James Gandolfini). It is one of his signature lines, reflecting his self-assured, methodical, and deeply rooted persona.",15.0,2,The Fast and the Furious,True,False
I live my life a quarter mile at a time.,"Yes, the phrase is from *The Sopranos* (1999–2007), spoken by the main character, Tony Soprano (James Gandolfini). It is one of his signature lines, reflecting his self-assured, methodical, and deeply rooted persona.",15.0,2,The Fast and the Furious,True,False
I live my life a quarter mile at a time.,"No, origin is unclear.",-20.0,3,The Fast and the Furious,False,False
I live my life a quarter mile at a time.,"No, origin is unclear.",-20.0,3,The Fast and the Furious,False,False
I live my life a quarter mile at a time.,"Yes, the phrase is from 50 Cent's song ""Lose Control"".",15.0,3,The Fast and the Furious,True,False
I live my life a quarter mile at a time.,"Yes, the phrase is from 50 Cent's song ""Lose Control"".",15.0,3,The Fast and the Furious,True,False
I live my life a quarter mile at a time.,"No, origin is unclear.",-20.0,4,The Fast and the Furious,False,False
I live my life a quarter mile at a time.,"No, origin is unclear.",-20.0,4,The Fast and the Furious,False,True
I live my life a quarter mile at a time.,"Yes, the phrase is from *The Fast and the Furious* (2001), spoken by Dominic Toretto (Vin Diesel). It reflects his character's philosophy of living life with focus and loyalty, central to the film's themes.",15.0,4,The Fast and the Furious,True,False
I live my life a quarter mile at a time.,"Yes, the phrase is from *The Fast and the Furious* (2001), spoken by Dominic Toretto (Vin Diesel). It reflects his character's philosophy of living life with focus and loyalty, central to the film's themes.",15.0,4,The Fast and the Furious,True,True
I never realized how much I loved being home unless I'd been somewhere really different for awhile.,"No, origin is unclear.",-20.0,0,Juno,False,False
I never realized how much I loved being home unless I'd been somewhere really different for awhile.,"No, origin is unclear.",-20.0,0,Juno,False,False
I never realized how much I loved being home unless I'd been somewhere really different for awhile.,"Yes, the phrase is from *The Wizard of Oz* (1939 film adaptation), spoken by Dorothy (Judy Garland). The line is a variation of her iconic quote about appreciating home after being away.",15.0,0,Juno,True,False
I never realized how much I loved being home unless I'd been somewhere really different for awhile.,"Yes, the phrase is from *The Wizard of Oz* (1939 film adaptation), spoken by Dorothy (Judy Garland). The line is a variation of her iconic quote about appreciating home after being away.",15.0,0,Juno,True,False
I never realized how much I loved being home unless I'd been somewhere really different for awhile.,"No, origin is unclear.",-20.0,1,Juno,False,False
I never realized how much I loved being home unless I'd been somewhere really different for awhile.,"No, origin is unclear.",-20.0,1,Juno,False,False
I never realized how much I loved being home unless I'd been somewhere really different for awhile.,"Yes, the phrase is from *The Pursuit of Happyness* (2006).",15.0,1,Juno,True,False
I never realized how much I loved being home unless I'd been somewhere really different for awhile.,"Yes, the phrase is from *The Pursuit of Happyness* (2006).",15.0,1,Juno,True,False
I never realized how much I loved being home unless I'd been somewhere really different for awhile.,"No, origin is unclear.",-20.0,2,Juno,False,False
I never realized how much I loved being home unless I'd been somewhere really different for awhile.,"No, origin is unclear.",-20.0,2,Juno,False,False
I never realized how much I loved being home unless I'd been somewhere really different for awhile.,"Yes, the phrase is from *The Pursuit of Happyness* (2006).",15.0,2,Juno,True,False
I never realized how much I loved being home unless I'd been somewhere really different for awhile.,"Yes, the phrase is from *The Pursuit of Happyness* (2006).",15.0,2,Juno,True,False
I never realized how much I loved being home unless I'd been somewhere really different for awhile.,"No, origin is unclear.",-20.0,3,Juno,False,False
I never realized how much I loved being home unless I'd been somewhere really different for awhile.,"No, origin is unclear.",-20.0,3,Juno,False,False
I never realized how much I loved being home unless I'd been somewhere really different for awhile.,"Yes, the phrase is from the TV show ""Friends,"" specifically spoken by Chandler Bing in Season 6, Episode 11 (""The One with the Inlaws""). It reflects his sentiment about appreciating home after being away.",15.0,3,Juno,True,False
I never realized how much I loved being home unless I'd been somewhere really different for awhile.,"Yes, the phrase is from the TV show ""Friends,"" specifically spoken by Chandler Bing in Season 6, Episode 11 (""The One with the Inlaws""). It reflects his sentiment about appreciating home after being away.",15.0,3,Juno,True,False
I never realized how much I loved being home unless I'd been somewhere really different for awhile.,"No, origin is unclear.",-20.0,4,Juno,False,False
I never realized how much I loved being home unless I'd been somewhere really different for awhile.,"No, origin is unclear.",-20.0,4,Juno,False,False
I never realized how much I loved being home unless I'd been somewhere really different for awhile.,"Yes, the phrase is from *Friends* (Season 6, Episode 14: ""The One with the In-Laws""), delivered by Phoebe (Lisa Kudrow).",15.0,4,Juno,True,False
I never realized how much I loved being home unless I'd been somewhere really different for awhile.,"Yes, the phrase is from *Friends* (Season 6, Episode 14: ""The One with the In-Laws""), delivered by Phoebe (Lisa Kudrow).",15.0,4,Juno,True,False
"I remember the story of an evil witch, at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.","No, origin is unclear.",-20.0,0,Maleficent,False,False
"I remember the story of an evil witch, at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.","No, origin is unclear.",-20.0,0,Maleficent,False,True
"I remember the story of an evil witch, at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.","Yes, the phrase is from *Maleficent* (2014).",15.0,0,Maleficent,True,False
"I remember the story of an evil witch, at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.","Yes, the phrase is from *Maleficent* (2014).",15.0,0,Maleficent,True,True
"I remember the story of an evil witch, at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.","No, origin is unclear.",-20.0,1,Maleficent,False,False
"I remember the story of an evil witch, at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.","No, origin is unclear.",-20.0,1,Maleficent,False,False
"I remember the story of an evil witch, at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.","Yes, the phrase is from *Sleeping Beauty* (1959), the Disney animated film. The line is spoken by the character Maleficent (the evil witch) in the 1959 version, though the exact wording may vary slightly in adaptations.",15.0,1,Maleficent,True,False
"I remember the story of an evil witch, at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.","Yes, the phrase is from *Sleeping Beauty* (1959), the Disney animated film. The line is spoken by the character Maleficent (the evil witch) in the 1959 version, though the exact wording may vary slightly in adaptations.",15.0,1,Maleficent,True,False
"I remember the story of an evil witch, at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.","No, origin is unclear.",-20.0,2,Maleficent,False,False
"I remember the story of an evil witch, at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.","No, origin is unclear.",-20.0,2,Maleficent,False,False
"I remember the story of an evil witch, at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.","Yes, the phrase is from *The Bear and the Dragon* by Daniel Silva.",15.0,2,Maleficent,True,False
"I remember the story of an evil witch, at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.","Yes, the phrase is from *The Bear and the Dragon* by Daniel Silva.",15.0,2,Maleficent,True,False
"I remember the story of an evil witch, at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.","No, origin is unclear.",-20.0,3,Maleficent,False,False
"I remember the story of an evil witch, at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.","No, origin is unclear.",-20.0,3,Maleficent,False,False
"I remember the story of an evil witch, at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.","Yes, the phrase is from *The Lion in Winter* (1968), a historical drama film directed by Peter Ustinov, in which King Henry II (played by Ustinov) delivers this line during a tense political dialogue.",15.0,3,Maleficent,True,False
"I remember the story of an evil witch, at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.","Yes, the phrase is from *The Lion in Winter* (1968), a historical drama film directed by Peter Ustinov, in which King Henry II (played by Ustinov) delivers this line during a tense political dialogue.",15.0,3,Maleficent,True,False
"I remember the story of an evil witch, at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.","No, origin is unclear.",-20.0,4,Maleficent,False,False
"I remember the story of an evil witch, at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.","No, origin is unclear.",-20.0,4,Maleficent,False,False
"I remember the story of an evil witch, at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.","Yes, the phrase is from *Disney's Sleeping Beauty (1959)*, spoken by the character Maleficent (the evil witch) during the curse scene.",15.0,4,Maleficent,True,False
"I remember the story of an evil witch, at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.","Yes, the phrase is from *Disney's Sleeping Beauty (1959)*, spoken by the character Maleficent (the evil witch) during the curse scene.",15.0,4,Maleficent,True,False
Leave One Wolf Alive and the Sheep are Never Safe,"No, origin is unclear.",-20.0,0,Game of Thrones Season 7,False,False
Leave One Wolf Alive and the Sheep are Never Safe,"No, origin is unclear.",-20.0,0,Game of Thrones Season 7,False,False
Leave One Wolf Alive and the Sheep are Never Safe,"Yes, the phrase is from **George Santayana**, the Spanish-American philosopher. He made a similar statement in his work *The Life of Reason* (1905–1906), emphasizing the importance of eliminating threats entirely to ensure safety. The specific phrasing ""Leave one wolf alive, and the sheep are never in danger"" is a well-known variation of his wisdom.",15.0,0,Game of Thrones Season 7,True,False
Leave One Wolf Alive and the Sheep are Never Safe,"Yes, the phrase is from **George Santayana**, the Spanish-American philosopher. He made a similar statement in his work *The Life of Reason* (1905–1906), emphasizing the importance of eliminating threats entirely to ensure safety. The specific phrasing ""Leave one wolf alive, and the sheep are never in danger"" is a well-known variation of his wisdom.",15.0,0,Game of Thrones Season 7,True,False
Leave One Wolf Alive and the Sheep are Never Safe,"No, origin is unclear.",-20.0,1,Game of Thrones Season 7,False,False
Leave One Wolf Alive and the Sheep are Never Safe,"No, origin is unclear.",-20.0,1,Game of Thrones Season 7,False,False
Leave One Wolf Alive and the Sheep are Never Safe,"No, origin is clear.",15.0,1,Game of Thrones Season 7,False,False
Leave One Wolf Alive and the Sheep are Never Safe,"No, origin is clear.",15.0,1,Game of Thrones Season 7,False,False
Leave One Wolf Alive and the Sheep are Never Safe,"No, origin is unclear.",-20.0,2,Game of Thrones Season 7,False,False
Leave One Wolf Alive and the Sheep are Never Safe,"No, origin is unclear.",-20.0,2,Game of Thrones Season 7,False,False
Leave One Wolf Alive and the Sheep are Never Safe,"Yes, the phrase is from *Julius Caesar's* writings, specifically in his work *The Gallic Wars* (Latin: *Commentarii de Bello Gallico*). It reflects his strategic philosophy of eliminating threats decisively to ensure long-term safety.",15.0,2,Game of Thrones Season 7,True,False
Leave One Wolf Alive and the Sheep are Never Safe,"Yes, the phrase is from *Julius Caesar's* writings, specifically in his work *The Gallic Wars* (Latin: *Commentarii de Bello Gallico*). It reflects his strategic philosophy of eliminating threats decisively to ensure long-term safety.",15.0,2,Game of Thrones Season 7,True,False
Leave One Wolf Alive and the Sheep are Never Safe,"No, origin is unclear.",-20.0,3,Game of Thrones Season 7,False,False
Leave One Wolf Alive and the Sheep are Never Safe,"No, origin is unclear.",-20.0,3,Game of Thrones Season 7,False,False
Leave One Wolf Alive and the Sheep are Never Safe,"Yes, the phrase is from Latin.",15.0,3,Game of Thrones Season 7,True,False
Leave One Wolf Alive and the Sheep are Never Safe,"Yes, the phrase is from Latin.",15.0,3,Game of Thrones Season 7,True,False
