quote,movie,type,year,title
"You don't get to choose if you get hurt in this world,but you do have a say in who hearts you",Fault in our stars,movie,2014,Fault in our stars
This meeting of The Losers Club has officially begun.,It Chapter Two,movie,2019,It Chapter Two
I don't understand. He meets a girl that can give him a new life and he pushes her away? Because he doesn't know how to love.,8 1⁄2 ,movie,1963,8 1⁄2 
Let us learn to show our friendship for a man when he is alive and not after he is dead.,The Great Gatsby,movie,2013,The Great Gatsby
"I remember the story of an evil witch, at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.",Maleficent:The Mistress of Evil,movie,2019,Maleficent
"A new chapter of my life has begun. Already, I can feel the weight of this crown I wear.",The King,movie,2019,The King
"Well, I’ve got no leashes, or fences. With me, every day could be an adventure.",The Lady and the Tramp,movie,2019,The Lady and the Tramp
I live my life a quarter mile at a time.,The Fast and the Furious,movie,2001,The Fast and the Furious
Once in a while when I wake up. I find myself crying.,Kimi No Nawa,movie,2016,Kimi No Nawa
The darkest nights produce the brightest stars.,Bumblebee,movie,2018,Bumblebee
" Spider-Pig, Spider-Pig. Does whatever a Spider-Pig does. Can he swing from a web? No he can't, he's a pig. Look out! He is a Spider-Pig!",The Simpsons Movie,movie,2019,The Simpsons Movie
"Life is a banquet, and most poor suckers are starving to death!",Auntie Mame,movie,1958,Auntie Mame
"If you don't eat your meat, you can't have any pudding! How can you have any pudding if you don't eat your meat?!",Pink Floyd: The Wall,movie,1982,Pink Floyd
They say that dreams are only real as long as they last. Couldn't you say the same thing about life?,Waking Life,movie,2001,Waking Life
"Joey, have you ever been in a turkish prison?",Airplane,movie,1980,Airplane
"Oh, and Senator, just one more thing. Love your suit.",The Silence of the Lambs,movie,1991,The Silence of the Lambs
"One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them.",The Lord of The Rings: The Fellowship of the Ring,movie,2001,The Lord of The Rings
" Spider-Pig, Spider-Pig. Does whatever a Spider-Pig does. Can he swing from a web? No he can't, he's a pig. Look out! He is a Spider-Pig!",The Simpsons movie,movie,2007,The Simpsons movie
Just because something works doesn’t mean it can’t be improved.,Black Panther,movie,2018,Black Panther
I don't want to survive. I want to live.,12 years a slave,movie,2013,12 years a slave
"It is within my power to drastically change his cirumstances, but I don't want to give that man a gift he doesn't deserve.",Seven Pounds,movie,2008,Seven Pounds
"You have got to be willing to crash and burn. If you are afraid of failing, you wont get very far",Steve Jobs,movie,2013,Steve Jobs
"Dear 8-pound, 6-ounce newborn infant Jesus...",Talledega Nights: The Ballad of Ricky Bobby,movie,2006,Talledega Nights
"You give me your loyalty, and I’ll guarantee that each and every one of you will have a chance to be a warrior, to actually be a part of history.",The Kill Team,movie,2019,The Kill Team
"If we didn’t do what we loved, we wouldn’t exist.","Adonis, Creed II",movie,2018,"Adonis, Creed II"
"Hope is a good thing, maybe the best of things, and no good thing ever dies.",The Shawshank Redemption,movie,1994,The Shawshank Redemption
We could not talk or talk forever and still find things to not talk about.,Best in Show,movie,2000,Best in Show
"Just when I thought I was out, they pull me back in.",The Godfather III,movie,1990,The Godfather III
"I love rumors! Facts can be so misleading, but rumors, true or false, are often revealing",Inglorious Basterds,movie,2009,Inglorious Basterds
"No matter how the wind howls, the mountain cannot bow to it.",Mulan,movie,1998,Mulan
You only live twice:Once when you are born And once when you look death in the face,You only live twice,movie,1967,You only live twice
Popularity is the slutty little cousin of prestige.,Birdman,movie,2014,Birdman
"Every time we get a chance to get ahead they move the finish line, every time.",Hidden Figures,movie,2017,Hidden Figures
"Like a midget at a urinal, I was going to have to stay on my toes.",The Naked Gun,movie,1988,The Naked Gun
Proximity to power deludes some into thinking they wield it.,House of Cards,tv,2013,House of Cards
"I'm a mog: half man, half dog. I'm my own best friend!",Spaceballs,movie,1987,Spaceballs
"It's not the years, honey. It's the mileage.",Raiders of the Lost Ark,movie,1981,Raiders of the Lost Ark
The greatest thing you’ll ever learn is just to love and be loved in return.,Moulin Rouge,movie,2001,Moulin Rouge
"Our lives are defined by opportunities, even the ones we miss.",Benjamin Button,movie,2008,Benjamin Button
"Which would be worse, to live a monster or die as a good man?",Shutter Island,movie,2010,Shutter Island
A census taker once tried to test me. I ate his liver with some fava beans and a nice Chianti.,The Silence of the lambs,movie,1998,The Silence of the lambs
"Do not go gentle into that good night. Rage, rage against the dying of the light.",Interstellar,movie,2014,Interstellar
"For you, the day Bison graced your village, was the most important day in your life. But for me, it was Tuesday.",Street Fighter,movie,1994,Street Fighter
Do you know what happens to a toad when it's struck by lightning? The same thing that happens to everything else.,X-men,movie,2000,X-men
Haven't you ever wanted something so ba that it becomes more than a want?,Rebel of the Sands,movie,2015,Rebel of the Sands
"If what I think is happening is happening, it better not be.",Fantastic Mr. Fox,movie,2009,Fantastic Mr. Fox
"If you want to know what a man’s like, take a good look at how he treats his inferiors, not his equals.",Harry Potter and the Goblet of Fire,movie,2005,Harry Potter and the Goblet of Fire
The law says that you cannot touch. But I think I see a lot of lawbreakers up in this house tonight,Magic Mike,movie,2012,Magic Mike
What we've got here is a failure to communicate.,Cool Hand Luke,movie,1967,Cool Hand Luke
Just because she likes the same bizzaro crap you do doesn't mean she's your soul mate.,500 Days of Summer,movie,2009,500 Days of Summer
You cocky cock! You'll pay for your crimes against humanity!,Scott Pilgrim VS. The World,movie,2010,Scott Pilgrim VS. The World
I think the best thing we can do is to let people know that each one of them is precious.,A Beautiful Day in the Neighbourhood,movie,2019,A Beautiful Day in the Neighbourhood
My Mama says that alligators are ornery because they got all them teeth and no toothbrush.,The Waterboy,movie,1998,The Waterboy
Have you ever danced with the devil in the pale moonlight?,Batman,movie,1989,Batman
The greatest trick the devil ever pulled was convincing the world he didn't exist.,The Usual Suspects,movie,1995,The Usual Suspects
"Oh, no, it wasn't the airplanes. It was Beauty killed the Beast.",King Kong,movie,1933,King Kong
"When you stop trying to force the solution, it'll happen on its own.",The Flash,tv,2012,The Flash
Why don't you make like a tree and get out of here.,Back to the Future Part II,movie,1989,Back to the Future Part II
Better dead and cool then alive and uncool.,Harley Davidson and The Marlboro Man,movie,1991,Harley Davidson and The Marlboro Man
Leave One Wolf Alive and the Sheep are Never Safe,Game of Thrones Season 7,movie,2017,Game of Thrones Season 7
Some infinities are bigger than other infinities.,The Fault in our stars,movie,2014,The Fault in our stars
Your identity is your most valuable possession. Protect it.,The Incredibles,movie,2004,The Incredibles
"Put the weed in the bag first, then get money.",Belly,movie,1998,Belly
I'm tired of people who judge me without knowing my history.,8 miles,movie,2002,8 miles
Today the impossible becomes the possible. ,The Current War,movie,2019,The Current War
Didn't I tell you not to come to my house? Nobody touches my child!,Obsessed,movie,2009,Obsessed
"That's the beauty of argument. When you argue correctly, you're never wrong.",Thank You for Smoking,movie,2006,Thank You for Smoking
Why have average when you can have extraordinary?,The Boys,tv,2019,The Boys
"When all seems lost, a few brave souls can save everything we've ever known.",Transformers : The Light Night,movie,2017,Transformers 
"They have all the money, all the firepower, and they’ll use it. I know, I was one of them.",Dark Waters,movie,2019,Dark Waters
Every path is the right path. Everything could've been anything else. And it would have just as much meaning.,Mr Nobody,movie,2009,Mr Nobody
This is the day you will always remember as the day you almost caught Captain Jack Sparrow,Pirates of the Caribbean: The Curse of the Black Pearl,movie,2003,Pirates of the Caribbean
